Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus
BrettThompson,pptq26kh83,"Mediated JOLs",1,1,2023-03-15T15:16:29+00:00,11.220617055893,1,versionA_stim.csv,ReadVersion_Recall.csv,"Read Recall",Read1,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs. Please study each word pair! Your memory will be tested!",Initial_Instruct,Instruct1,10012,,,-1,-1,,,,1
BrettThompson,pptq26kh83,"Mediated JOLs",1,2,2023-03-15T15:16:33+00:00,4.3206079006195,1,versionA_stim.csv,ReadVersion_Recall.csv,"Read Recall",Read1,,,,,,0,Instruct,User,-,"You will now begin. Press Enter when you are ready to begin.",,Instruct16,3144,,,-1,-1,,,,1
BrettThompson,pptq26kh83,"Mediated JOLs",1,3,2023-03-15T15:16:37+00:00,4.1122951507568,1,versionA_stim.csv,ReadVersion_Recall.csv,"Read Recall",Read1,PITCHER,CATCHER,BUFFER1,Buffer,2,4,Study,User,-,,Study/JOL,BUFFER,2872,,,-1,-1,,,,1
BrettThompson,pptq26kh83,"Mediated JOLs",1,4,2023-03-15T15:16:42+00:00,4.4389507770538,1,versionA_stim.csv,ReadVersion_Recall.csv,"Read Recall",Read1,SCARE,FRIGHT,BUFFER1,Buffer,4,3,Study,User,-,,Study/JOL,BUFFER,3152,,,-1,-1,,,,1
BrettThompson,pptq26kh83,"Mediated JOLs",1,5,2023-03-15T15:16:45+00:00,3.771210193634,1,versionA_stim.csv,ReadVersion_Recall.csv,"Read Recall",Read1,TREES,GREEN,BUFFER1,Buffer,1,5,Study,User,-,,Study/JOL,BUFFER,2549,,,-1,-1,,,,1
BrettThompson,pptq26kh83,"Mediated JOLs",1,6,2023-03-15T15:16:49+00:00,3.5257449150085,1,versionA_stim.csv,ReadVersion_Recall.csv,"Read Recall",Read1,SPACE,JAM,BUFFER1,Buffer,5,6,Study,User,-,,Study/JOL,BUFFER,2318,,,-1,-1,,,,1
BrettThompson,pptq26kh83,"Mediated JOLs",1,7,2023-03-15T15:16:52+00:00,3.2853469848633,1,versionA_stim.csv,ReadVersion_Recall.csv,"Read Recall",Read1,PEANUT,BUTTER,BUFFER1,Buffer,3,2,Study,User,-,,Study/JOL,BUFFER,2081,,,-1,-1,,,,1
BrettThompson,pptq26kh83,"Mediated JOLs",1,8,2023-03-15T15:16:56+00:00,3.4360599517822,1,versionA_stim.csv,ReadVersion_Recall.csv,"Read Recall",Read1,CRY,BOTTLE,Study1,M,16,8,Study,User,-,,Study/JOL,"Study Phase",2005,,,-1,-1,,,,1
BrettThompson,pptq26kh83,"Mediated JOLs",1,9,2023-03-15T15:16:59+00:00,3.0812330245972,1,versionA_stim.csv,ReadVersion_Recall.csv,"Read Recall",Read1,DAY,DARK,Study1,M,18,47,Study,User,-,,Study/JOL,"Study Phase",1876,,,-1,-1,,,,1
BrettThompson,pptq26kh83,"Mediated JOLs",1,10,2023-03-15T15:17:02+00:00,3.4857289791107,1,versionA_stim.csv,ReadVersion_Recall.csv,"Read Recall",Read1,FUZZY,BANG,Study1,U,50,11,Study,User,-,,Study/JOL,"Study Phase",2236,,,-1,-1,,,,1
BrettThompson,pptq26kh83,"Mediated JOLs",1,11,2023-03-15T15:17:05+00:00,2.8412311077118,1,versionA_stim.csv,ReadVersion_Recall.csv,"Read Recall",Read1,SCALP,HEAD,Study1,F,23,10,Study,User,-,,Study/JOL,"Study Phase",1636,,,-1,-1,,,,1
BrettThompson,pptq26kh83,"Mediated JOLs",1,12,2023-03-15T15:17:09+00:00,4.0690200328827,1,versionA_stim.csv,ReadVersion_Recall.csv,"Read Recall",Read1,BAT,BOUNCE,Study1,M,12,45,Study,User,-,,Study/JOL,"Study Phase",2841,,,-1,-1,,,,1
BrettThompson,pptq26kh83,"Mediated JOLs",1,13,2023-03-15T15:17:14+00:00,4.5287318229675,1,versionA_stim.csv,ReadVersion_Recall.csv,"Read Recall",Read1,SIGN,TICK,Study1,U,47,14,Study,User,-,,Study/JOL,"Study Phase",3317,,,-1,-1,,,,1
